"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902117","BP","GO:1902117","positive regulation of organelle assembly","1/36","73/29008",0.086767449889099,0.196231562419488,0.14558714523196,"Cep135",1
"GO:2000107","BP","GO:2000107","negative regulation of leukocyte apoptotic process","1/36","73/29008",0.086767449889099,0.196231562419488,0.14558714523196,"Blm",1
"GO:0010833","BP","GO:0010833","telomere maintenance via telomere lengthening","1/36","74/29008",0.0879036645704191,0.197723689955143,0.146694177075154,"Cct7",1
"GO:1903036","BP","GO:1903036","positive regulation of response to wounding","1/36","74/29008",0.0879036645704191,0.197723689955143,0.146694177075154,"Igf1r",1
"GO:0014068","BP","GO:0014068","positive regulation of phosphatidylinositol 3-kinase signaling","1/36","75/29008",0.0890385048301641,0.19911907092038,0.147729431183795,"Igf1r",1
"GO:0021766","BP","GO:0021766","hippocampus development","1/36","76/29008",0.090171972283457,0.19911907092038,0.147729431183795,"Tsc1",1
"GO:0045739","BP","GO:0045739","positive regulation of DNA repair","1/36","76/29008",0.090171972283457,0.19911907092038,0.147729431183795,"Blm",1
"GO:1904029","BP","GO:1904029","regulation of cyclin-dependent protein kinase activity","1/36","76/29008",0.090171972283457,0.19911907092038,0.147729431183795,"Blm",1
"GO:1905515","BP","GO:1905515","non-motile cilium assembly","1/36","76/29008",0.090171972283457,0.19911907092038,0.147729431183795,"Cep135",1
"GO:2000573","BP","GO:2000573","positive regulation of DNA biosynthetic process","1/36","76/29008",0.090171972283457,0.19911907092038,0.147729431183795,"Cct7",1
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","2/36","406/29008",0.0902033381518831,0.19911907092038,0.147729431183795,"Blm/Chmp4c",2
"GO:0006979","BP","GO:0006979","response to oxidative stress","2/36","407/29008",0.0905801562082527,0.199420503057957,0.147953068216747,"Tsc1/Nono",2
"GO:0002292","BP","GO:0002292","T cell differentiation involved in immune response","1/36","78/29008",0.0924347952219646,0.201977002741427,0.149849773752358,"Tsc1",1
"GO:0009988","BP","GO:0009988","cell-cell recognition","1/36","78/29008",0.0924347952219646,0.201977002741427,0.149849773752358,"Cct7",1
"GO:1901652","BP","GO:1901652","response to peptide","2/36","412/29008",0.0924713988454725,0.201977002741427,0.149849773752358,"Igf1r/Tsc1",2
"GO:0006405","BP","GO:0006405","RNA export from nucleus","1/36","79/29008",0.0935641539282214,0.20276304898283,0.150432953271979,"Tsc1",1
"GO:0044773","BP","GO:0044773","mitotic DNA damage checkpoint signaling","1/36","79/29008",0.0935641539282214,0.20276304898283,0.150432953271979,"Blm",1
"GO:0071426","BP","GO:0071426","ribonucleoprotein complex export from nucleus","1/36","79/29008",0.0935641539282214,0.20276304898283,0.150432953271979,"Tsc1",1
"GO:0032204","BP","GO:0032204","regulation of telomere maintenance","1/36","80/29008",0.0946921462701126,0.203224328694436,0.150775183622378,"Cct7",1
"GO:0070228","BP","GO:0070228","regulation of lymphocyte apoptotic process","1/36","80/29008",0.0946921462701126,0.203224328694436,0.150775183622378,"Blm",1
"GO:0071166","BP","GO:0071166","ribonucleoprotein complex localization","1/36","80/29008",0.0946921462701126,0.203224328694436,0.150775183622378,"Tsc1",1
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle","2/36","418/29008",0.0947564038611408,0.203224328694436,0.150775183622378,"Cct7/Vps37b",2
"GO:0030641","BP","GO:0030641","regulation of cellular pH","1/36","81/29008",0.095818773853571,0.204222212625982,0.151515528707926,"Dmxl2",1
"GO:0043903","BP","GO:0043903","regulation of biological process involved in symbiotic interaction","1/36","81/29008",0.095818773853571,0.204222212625982,0.151515528707926,"Vps37b",1
"GO:0006334","BP","GO:0006334","nucleosome assembly","1/36","82/29008",0.0969440382826952,0.204222212625982,0.151515528707926,"Hat1",1
"GO:0043279","BP","GO:0043279","response to alkaloid","1/36","82/29008",0.0969440382826952,0.204222212625982,0.151515528707926,"Blm",1
"GO:0050810","BP","GO:0050810","regulation of steroid biosynthetic process","1/36","82/29008",0.0969440382826952,0.204222212625982,0.151515528707926,"Igf1r",1
"GO:0051303","BP","GO:0051303","establishment of chromosome localization","1/36","82/29008",0.0969440382826952,0.204222212625982,0.151515528707926,"Chmp4c",1
"GO:2001252","BP","GO:2001252","positive regulation of chromosome organization","1/36","82/29008",0.0969440382826952,0.204222212625982,0.151515528707926,"Cct7",1
"GO:0007264","BP","GO:0007264","small GTPase mediated signal transduction","2/36","425/29008",0.0974431797638749,0.204754023301307,0.151910087040285,"Srgap1/Tnfaip1",2
"GO:0044774","BP","GO:0044774","mitotic DNA integrity checkpoint signaling","1/36","83/29008",0.0980679411597543,0.205306987009248,0.152320339125441,"Blm",1
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","2/36","427/29008",0.0982148972998334,0.205306987009248,0.152320339125441,"Igf1r/Nono",2
"GO:0070997","BP","GO:0070997","neuron death","2/36","428/29008",0.0986014257829499,0.205306987009248,0.152320339125441,"Tsc1/Nono",2
"GO:0030433","BP","GO:0030433","ubiquitin-dependent ERAD pathway","1/36","84/29008",0.0991904840851909,0.205306987009248,0.152320339125441,"Derl2",1
"GO:0050000","BP","GO:0050000","chromosome localization","1/36","84/29008",0.0991904840851909,0.205306987009248,0.152320339125441,"Chmp4c",1
"GO:2000779","BP","GO:2000779","regulation of double-strand break repair","1/36","84/29008",0.0991904840851909,0.205306987009248,0.152320339125441,"Blm",1
"GO:0010921","BP","GO:0010921","regulation of phosphatase activity","1/36","85/29008",0.10031166865762,0.207111156681155,0.153658879719056,"Tsc1",1
"GO:0046323","BP","GO:0046323","glucose import","1/36","86/29008",0.101431496473833,0.208386490280399,0.154605068882731,"Tsc1",1
"GO:0048041","BP","GO:0048041","focal adhesion assembly","1/36","86/29008",0.101431496473833,0.208386490280399,0.154605068882731,"Tsc1",1
"GO:0051251","BP","GO:0051251","positive regulation of lymphocyte activation","2/36","436/29008",0.101709513134137,0.208441718274898,0.154646043361846,"Blm/Sox12",2
"GO:0031346","BP","GO:0031346","positive regulation of cell projection organization","2/36","441/29008",0.103666141700386,0.211409541078637,0.156847915701969,"Igf1r/Cep135",2
"GO:0034620","BP","GO:0034620","cellular response to unfolded protein","1/36","88/29008",0.103667088215669,0.211409541078637,0.156847915701969,"Derl2",1
"GO:0000280","BP","GO:0000280","nuclear division","2/36","442/29008",0.104058744224413,0.211688131632997,0.157054606221056,"Igf1r/Chmp4c",2
"GO:0032024","BP","GO:0032024","positive regulation of insulin secretion","1/36","89/29008",0.104782855325774,0.212121390049738,0.157376047151676,"Aacs",1
"GO:0032526","BP","GO:0032526","response to retinoic acid","1/36","89/29008",0.104782855325774,0.212121390049738,0.157376047151676,"Asxl1",1
"GO:0031016","BP","GO:0031016","pancreas development","1/36","91/29008",0.107010339971939,0.215579082953179,0.159941361480798,"Igf1r",1
"GO:0035023","BP","GO:0035023","regulation of Rho protein signal transduction","1/36","91/29008",0.107010339971939,0.215579082953179,0.159941361480798,"Tnfaip1",1
"GO:1904035","BP","GO:1904035","regulation of epithelial cell apoptotic process","1/36","92/29008",0.108122060681591,0.217291308391575,0.161211687265785,"Igf1r",1
"GO:0032651","BP","GO:0032651","regulation of interleukin-1 beta production","1/36","93/29008",0.109232435761666,0.217939715582171,0.161692750305098,"Casp4",1
"GO:0035304","BP","GO:0035304","regulation of protein dephosphorylation","1/36","93/29008",0.109232435761666,0.217939715582171,0.161692750305098,"Tsc1",1
"GO:0061640","BP","GO:0061640","cytoskeleton-dependent cytokinesis","1/36","93/29008",0.109232435761666,0.217939715582171,0.161692750305098,"Chmp4c",1
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","2/36","457/29008",0.109997533732884,0.218939935247706,0.162434828306795,"Blm/Sox12",2
"GO:0008589","BP","GO:0008589","regulation of smoothened signaling pathway","1/36","94/29008",0.110341466794438,0.219099084783214,0.162552903738973,"Tubd1",1
"GO:0010660","BP","GO:0010660","regulation of muscle cell apoptotic process","1/36","95/29008",0.111449155360371,0.220536082978022,0.163619034295679,"Igf1r",1
"GO:0016570","BP","GO:0016570","histone modification","2/36","461/29008",0.111596572109361,0.220536082978022,0.163619034295679,"Hat1/Asxl1",2
"GO:0007044","BP","GO:0007044","cell-substrate junction assembly","1/36","96/29008",0.112555503038129,0.221376937255089,0.164242876720643,"Tsc1",1
"GO:0034502","BP","GO:0034502","protein localization to chromosome","1/36","96/29008",0.112555503038129,0.221376937255089,0.164242876720643,"Cct7",1
"GO:0051781","BP","GO:0051781","positive regulation of cell division","1/36","97/29008",0.113660511404574,0.222495812419331,0.165072987020049,"Igf1r",1
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","1/36","97/29008",0.113660511404574,0.222495812419331,0.165072987020049,"Igf1r",1
"GO:0051492","BP","GO:0051492","regulation of stress fiber assembly","1/36","98/29008",0.114764182034764,0.224127696679657,0.166283706477615,"Tsc1",1
"GO:0006885","BP","GO:0006885","regulation of pH","1/36","99/29008",0.115866516501964,0.225220629266112,0.167094569588682,"Dmxl2",1
"GO:0032611","BP","GO:0032611","interleukin-1 beta production","1/36","99/29008",0.115866516501964,0.225220629266112,0.167094569588682,"Casp4",1
"GO:0010657","BP","GO:0010657","muscle cell apoptotic process","1/36","100/29008",0.116967516377641,0.225796686825155,0.167521955349037,"Igf1r",1
"GO:0016241","BP","GO:0016241","regulation of macroautophagy","1/36","100/29008",0.116967516377641,0.225796686825155,0.167521955349037,"Tsc1",1
"GO:0006325","BP","GO:0006325","chromatin organization","2/36","477/29008",0.11805455511943,0.225796686825155,0.167521955349037,"Hat1/Asxl1",2
"GO:0060993","BP","GO:0060993","kidney morphogenesis","1/36","101/29008",0.118067183231466,0.225796686825155,0.167521955349037,"Asxl1",1
"GO:0090630","BP","GO:0090630","activation of GTPase activity","1/36","101/29008",0.118067183231466,0.225796686825155,0.167521955349037,"Tsc1",1
"GO:0097061","BP","GO:0097061","dendritic spine organization","1/36","101/29008",0.118067183231466,0.225796686825155,0.167521955349037,"Igf1r",1
"GO:2001243","BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","1/36","101/29008",0.118067183231466,0.225796686825155,0.167521955349037,"Nono",1
"GO:0150115","BP","GO:0150115","cell-substrate junction organization","1/36","102/29008",0.119165518631324,0.227373288422985,0.16869165976848,"Tsc1",1
"GO:0014066","BP","GO:0014066","regulation of phosphatidylinositol 3-kinase signaling","1/36","103/29008",0.120262524143303,0.227889835079903,0.169074893496187,"Igf1r",1
"GO:0021510","BP","GO:0021510","spinal cord development","1/36","103/29008",0.120262524143303,0.227889835079903,0.169074893496187,"Sox12",1
"GO:0021761","BP","GO:0021761","limbic system development","1/36","103/29008",0.120262524143303,0.227889835079903,0.169074893496187,"Tsc1",1
"GO:0031497","BP","GO:0031497","chromatin assembly","1/36","104/29008",0.121358201331708,0.227889835079903,0.169074893496187,"Hat1",1
"GO:0042102","BP","GO:0042102","positive regulation of T cell proliferation","1/36","104/29008",0.121358201331708,0.227889835079903,0.169074893496187,"Blm",1
"GO:0045582","BP","GO:0045582","positive regulation of T cell differentiation","1/36","104/29008",0.121358201331708,0.227889835079903,0.169074893496187,"Sox12",1
"GO:0070227","BP","GO:0070227","lymphocyte apoptotic process","1/36","104/29008",0.121358201331708,0.227889835079903,0.169074893496187,"Blm",1
"GO:0032006","BP","GO:0032006","regulation of TOR signaling","1/36","105/29008",0.122452551759055,0.228394647101159,0.169449421121342,"Tsc1",1
"GO:0036503","BP","GO:0036503","ERAD pathway","1/36","105/29008",0.122452551759055,0.228394647101159,0.169449421121342,"Derl2",1
"GO:0048661","BP","GO:0048661","positive regulation of smooth muscle cell proliferation","1/36","105/29008",0.122452551759055,0.228394647101159,0.169449421121342,"Igf1r",1
"GO:0050808","BP","GO:0050808","synapse organization","2/36","489/29008",0.122960290483219,0.228827446414959,0.169770521436589,"Igf1r/Tsc1",2
"GO:0046889","BP","GO:0046889","positive regulation of lipid biosynthetic process","1/36","106/29008",0.123545576986079,0.228890243076887,0.169817111223816,"Igf1r",1
"GO:2000243","BP","GO:2000243","positive regulation of reproductive process","1/36","106/29008",0.123545576986079,0.228890243076887,0.169817111223816,"Igf1r",1
"GO:0044770","BP","GO:0044770","cell cycle phase transition","2/36","492/29008",0.124194720260037,0.229580440569778,0.170329179116449,"Blm/Chmp4c",2
"GO:0030004","BP","GO:0030004","cellular monovalent inorganic cation homeostasis","1/36","107/29008",0.124637278571731,0.229886536032303,0.170556275940263,"Dmxl2",1
"GO:0006820","BP","GO:0006820","anion transport","2/36","495/29008",0.125432270563185,0.230329169396999,0.170884672285662,"Slc35b1/Abcc10",2
"GO:0048285","BP","GO:0048285","organelle fission","2/36","495/29008",0.125432270563185,0.230329169396999,0.170884672285662,"Igf1r/Chmp4c",2
"GO:0035967","BP","GO:0035967","cellular response to topologically incorrect protein","1/36","108/29008",0.125727658073181,0.23036193421797,0.170908980998748,"Derl2",1
"GO:0106027","BP","GO:0106027","neuron projection organization","1/36","109/29008",0.126816717045824,0.231791919969254,0.171969908918216,"Igf1r",1
"GO:0002696","BP","GO:0002696","positive regulation of leukocyte activation","2/36","500/29008",0.127501684383255,0.231791919969254,0.171969908918216,"Blm/Sox12",2
"GO:0000077","BP","GO:0000077","DNA damage checkpoint signaling","1/36","110/29008",0.127904457043275,0.231791919969254,0.171969908918216,"Blm",1
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","1/36","110/29008",0.127904457043275,0.231791919969254,0.171969908918216,"Igf1r",1
"GO:0110020","BP","GO:0110020","regulation of actomyosin structure organization","1/36","110/29008",0.127904457043275,0.231791919969254,0.171969908918216,"Tsc1",1
"GO:0008344","BP","GO:0008344","adult locomotory behavior","1/36","111/29008",0.128990879617378,0.232239544647341,0.172302008394032,"Tsc1",1
"GO:0021987","BP","GO:0021987","cerebral cortex development","1/36","111/29008",0.128990879617378,0.232239544647341,0.172302008394032,"Tsc1",1
"GO:0046634","BP","GO:0046634","regulation of alpha-beta T cell activation","1/36","111/29008",0.128990879617378,0.232239544647341,0.172302008394032,"Blm",1
"GO:0000018","BP","GO:0000018","regulation of DNA recombination","1/36","112/29008",0.130075986318205,0.232679027250237,0.172628067141901,"Blm",1
"GO:0021549","BP","GO:0021549","cerebellum development","1/36","112/29008",0.130075986318205,0.232679027250237,0.172628067141901,"Igf1r",1
"GO:2000106","BP","GO:2000106","regulation of leukocyte apoptotic process","1/36","112/29008",0.130075986318205,0.232679027250237,0.172628067141901,"Blm",1
"GO:0001843","BP","GO:0001843","neural tube closure","1/36","113/29008",0.131159778694054,0.233110527443394,0.172948203620019,"Tsc1",1
"GO:0120034","BP","GO:0120034","positive regulation of plasma membrane bounded cell projection assembly","1/36","113/29008",0.131159778694054,0.233110527443394,0.172948203620019,"Cep135",1
"GO:2001022","BP","GO:2001022","positive regulation of response to DNA damage stimulus","1/36","113/29008",0.131159778694054,0.233110527443394,0.172948203620019,"Blm",1
"GO:0032231","BP","GO:0032231","regulation of actin filament bundle assembly","1/36","114/29008",0.132242258291459,0.233378089586683,0.173146711995193,"Tsc1",1
"GO:0032652","BP","GO:0032652","regulation of interleukin-1 production","1/36","114/29008",0.132242258291459,0.233378089586683,0.173146711995193,"Casp4",1
"GO:0060606","BP","GO:0060606","tube closure","1/36","114/29008",0.132242258291459,0.233378089586683,0.173146711995193,"Tsc1",1
"GO:0002062","BP","GO:0002062","chondrocyte differentiation","1/36","115/29008",0.133323426655185,0.233378089586683,0.173146711995193,"Sox5",1
"GO:0051225","BP","GO:0051225","spindle assembly","1/36","115/29008",0.133323426655185,0.233378089586683,0.173146711995193,"Chmp4c",1
"GO:0072009","BP","GO:0072009","nephron epithelium development","1/36","115/29008",0.133323426655185,0.233378089586683,0.173146711995193,"Asxl1",1
"GO:0006986","BP","GO:0006986","response to unfolded protein","1/36","116/29008",0.134403285328234,0.233378089586683,0.173146711995193,"Derl2",1
"GO:0019218","BP","GO:0019218","regulation of steroid metabolic process","1/36","116/29008",0.134403285328234,0.233378089586683,0.173146711995193,"Igf1r",1
"GO:0048709","BP","GO:0048709","oligodendrocyte differentiation","1/36","116/29008",0.134403285328234,0.233378089586683,0.173146711995193,"Sox5",1
"GO:0051897","BP","GO:0051897","positive regulation of protein kinase B signaling","1/36","116/29008",0.134403285328234,0.233378089586683,0.173146711995193,"Igf1r",1
"GO:1904659","BP","GO:1904659","glucose transmembrane transport","1/36","116/29008",0.134403285328234,0.233378089586683,0.173146711995193,"Tsc1",1
"GO:0008645","BP","GO:0008645","hexose transmembrane transport","1/36","117/29008",0.135481835851846,0.234270674493817,0.173808934152039,"Tsc1",1
"GO:0031570","BP","GO:0031570","DNA integrity checkpoint signaling","1/36","117/29008",0.135481835851846,0.234270674493817,0.173808934152039,"Blm",1
"GO:2000278","BP","GO:2000278","regulation of DNA biosynthetic process","1/36","118/29008",0.136559079765499,0.23543765387935,0.174674733696157,"Cct7",1
"GO:0006612","BP","GO:0006612","protein targeting to membrane","1/36","119/29008",0.137635018606912,0.23543765387935,0.174674733696157,"Vps37b",1
"GO:0007052","BP","GO:0007052","mitotic spindle organization","1/36","119/29008",0.137635018606912,0.23543765387935,0.174674733696157,"Chmp4c",1
"GO:0015749","BP","GO:0015749","monosaccharide transmembrane transport","1/36","119/29008",0.137635018606912,0.23543765387935,0.174674733696157,"Tsc1",1
"GO:0014020","BP","GO:0014020","primary neural tube formation","1/36","120/29008",0.138709653912051,0.23543765387935,0.174674733696157,"Tsc1",1
"GO:0032612","BP","GO:0032612","interleukin-1 production","1/36","120/29008",0.138709653912051,0.23543765387935,0.174674733696157,"Casp4",1
"GO:0034219","BP","GO:0034219","carbohydrate transmembrane transport","1/36","120/29008",0.138709653912051,0.23543765387935,0.174674733696157,"Tsc1",1
"GO:0045621","BP","GO:0045621","positive regulation of lymphocyte differentiation","1/36","120/29008",0.138709653912051,0.23543765387935,0.174674733696157,"Sox12",1
"GO:1904019","BP","GO:1904019","epithelial cell apoptotic process","1/36","120/29008",0.138709653912051,0.23543765387935,0.174674733696157,"Igf1r",1
"GO:0090277","BP","GO:0090277","positive regulation of peptide hormone secretion","1/36","122/29008",0.140855020048587,0.238591156408831,0.177014364615303,"Aacs",1
"GO:0040029","BP","GO:0040029","regulation of gene expression, epigenetic","1/36","123/29008",0.141925753943146,0.239915225606541,0.177996711451904,"Hat1",1
"GO:0002286","BP","GO:0002286","T cell activation involved in immune response","1/36","124/29008",0.14299519042776,0.240742409847953,0.178610411871975,"Tsc1",1
"GO:1901890","BP","GO:1901890","positive regulation of cell junction assembly","1/36","124/29008",0.14299519042776,0.240742409847953,0.178610411871975,"Tsc1",1
"GO:0034728","BP","GO:0034728","nucleosome organization","1/36","125/29008",0.144063331029636,0.242049726223882,0.179580329538327,"Hat1",1
"GO:0002793","BP","GO:0002793","positive regulation of peptide secretion","1/36","126/29008",0.145130177274241,0.242511496054311,0.179922923515247,"Aacs",1
"GO:0022037","BP","GO:0022037","metencephalon development","1/36","126/29008",0.145130177274241,0.242511496054311,0.179922923515247,"Igf1r",1
"GO:0006333","BP","GO:0006333","chromatin assembly or disassembly","1/36","127/29008",0.146195730685297,0.242511496054311,0.179922923515247,"Hat1",1
"GO:0008286","BP","GO:0008286","insulin receptor signaling pathway","1/36","127/29008",0.146195730685297,0.242511496054311,0.179922923515247,"Igf1r",1
"GO:0001889","BP","GO:0001889","liver development","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Aacs",1
"GO:0001952","BP","GO:0001952","regulation of cell-matrix adhesion","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Tsc1",1
"GO:0006282","BP","GO:0006282","regulation of DNA repair","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Blm",1
"GO:0007631","BP","GO:0007631","feeding behavior","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Derl2",1
"GO:0031929","BP","GO:0031929","TOR signaling","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Tsc1",1
"GO:0042752","BP","GO:0042752","regulation of circadian rhythm","1/36","128/29008",0.147259992784786,0.242511496054311,0.179922923515247,"Nono",1
"GO:0043244","BP","GO:0043244","regulation of protein-containing complex disassembly","1/36","129/29008",0.148322965092949,0.243296563294759,0.180505376699346,"Igf1r",1
"GO:0046632","BP","GO:0046632","alpha-beta T cell differentiation","1/36","129/29008",0.148322965092949,0.243296563294759,0.180505376699346,"Blm",1
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","1/36","130/29008",0.149384649128292,0.244554751038426,0.181438845095091,"Tsc1",1
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response","1/36","131/29008",0.150445046407583,0.244841938271165,0.181651913619063,"Nono",1
"GO:0061008","BP","GO:0061008","hepaticobiliary system development","1/36","131/29008",0.150445046407583,0.244841938271165,0.181651913619063,"Aacs",1
"GO:1903828","BP","GO:1903828","negative regulation of cellular protein localization","1/36","131/29008",0.150445046407583,0.244841938271165,0.181651913619063,"Derl2",1
"GO:0051053","BP","GO:0051053","negative regulation of DNA metabolic process","1/36","132/29008",0.151504158445861,0.245876600015214,0.182419544716424,"Blm",1
"GO:0010212","BP","GO:0010212","response to ionizing radiation","1/36","133/29008",0.152561986756428,0.245876600015214,0.182419544716424,"Blm",1
"GO:0010508","BP","GO:0010508","positive regulation of autophagy","1/36","133/29008",0.152561986756428,0.245876600015214,0.182419544716424,"Tsc1",1
"GO:0035303","BP","GO:0035303","regulation of dephosphorylation","1/36","133/29008",0.152561986756428,0.245876600015214,0.182419544716424,"Tsc1",1
"GO:0090305","BP","GO:0090305","nucleic acid phosphodiester bond hydrolysis","1/36","133/29008",0.152561986756428,0.245876600015214,0.182419544716424,"Rnaseh1",1
"GO:0001841","BP","GO:0001841","neural tube formation","1/36","135/29008",0.154673798239009,0.248797001043367,0.18458623412856,"Tsc1",1
"GO:0014065","BP","GO:0014065","phosphatidylinositol 3-kinase signaling","1/36","136/29008",0.155727784428992,0.250007855079427,0.185484584935275,"Igf1r",1
"GO:0035966","BP","GO:0035966","response to topologically incorrect protein","1/36","138/29008",0.15783192523834,0.252409437279041,0.187266354861432,"Derl2",1
"GO:0046165","BP","GO:0046165","alcohol biosynthetic process","1/36","138/29008",0.15783192523834,0.252409437279041,0.187266354861432,"Ebp",1
"GO:0010811","BP","GO:0010811","positive regulation of cell-substrate adhesion","1/36","139/29008",0.158882082865338,0.252628599192012,0.187428954378348,"Tsc1",1
"GO:0051224","BP","GO:0051224","negative regulation of protein transport","1/36","139/29008",0.158882082865338,0.252628599192012,0.187428954378348,"Derl2",1
"GO:0055123","BP","GO:0055123","digestive system development","1/36","139/29008",0.158882082865338,0.252628599192012,0.187428954378348,"Igf1r",1
"GO:0071887","BP","GO:0071887","leukocyte apoptotic process","1/36","140/29008",0.159930967309442,0.253810139324736,0.188305556759633,"Blm",1
"GO:0006997","BP","GO:0006997","nucleus organization","1/36","141/29008",0.160978580070176,0.254499469444278,0.188816981134943,"Chmp4c",1
"GO:0035270","BP","GO:0035270","endocrine system development","1/36","141/29008",0.160978580070176,0.254499469444278,0.188816981134943,"Igf1r",1
"GO:0006690","BP","GO:0006690","icosanoid metabolic process","1/36","142/29008",0.162024922645347,0.255373768152403,0.18946563648593,"Abcc10",1
"GO:0009451","BP","GO:0009451","RNA modification","1/36","143/29008",0.163069996531052,0.255373768152403,0.18946563648593,"Dnajb11",1
"GO:0046328","BP","GO:0046328","regulation of JNK cascade","1/36","143/29008",0.163069996531052,0.255373768152403,0.18946563648593,"Igf1r",1
"GO:0050671","BP","GO:0050671","positive regulation of lymphocyte proliferation","1/36","143/29008",0.163069996531052,0.255373768152403,0.18946563648593,"Blm",1
"GO:0051783","BP","GO:0051783","regulation of nuclear division","1/36","143/29008",0.163069996531052,0.255373768152403,0.18946563648593,"Igf1r",1
"GO:1904950","BP","GO:1904950","negative regulation of establishment of protein localization","1/36","144/29008",0.164113803221677,0.256223861110683,0.19009633322733,"Derl2",1
"GO:0008203","BP","GO:0008203","cholesterol metabolic process","1/36","145/29008",0.165156344209898,0.256223861110683,0.19009633322733,"Ebp",1
"GO:0032946","BP","GO:0032946","positive regulation of mononuclear cell proliferation","1/36","145/29008",0.165156344209898,0.256223861110683,0.19009633322733,"Blm",1
"GO:0065004","BP","GO:0065004","protein-DNA complex assembly","1/36","145/29008",0.165156344209898,0.256223861110683,0.19009633322733,"Hat1",1
"GO:0120161","BP","GO:0120161","regulation of cold-induced thermogenesis","1/36","145/29008",0.165156344209898,0.256223861110683,0.19009633322733,"Igf1r",1
"GO:0071453","BP","GO:0071453","cellular response to oxygen levels","1/36","146/29008",0.166197620986687,0.256879004504563,0.190582393957095,"Tsc1",1
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","1/36","146/29008",0.166197620986687,0.256879004504563,0.190582393957095,"Chmp4c",1
"GO:0050657","BP","GO:0050657","nucleic acid transport","1/36","147/29008",0.167237635041308,0.257050439044974,0.190709583819036,"Tsc1",1
"GO:0050658","BP","GO:0050658","RNA transport","1/36","147/29008",0.167237635041308,0.257050439044974,0.190709583819036,"Tsc1",1
"GO:0106106","BP","GO:0106106","cold-induced thermogenesis","1/36","147/29008",0.167237635041308,0.257050439044974,0.190709583819036,"Igf1r",1
"GO:0016573","BP","GO:0016573","histone acetylation","1/36","148/29008",0.168276387861325,0.257692623477675,0.191186030100748,"Hat1",1
"GO:0045598","BP","GO:0045598","regulation of fat cell differentiation","1/36","148/29008",0.168276387861325,0.257692623477675,0.191186030100748,"Asxl1",1
"GO:0055007","BP","GO:0055007","cardiac muscle cell differentiation","1/36","149/29008",0.1693138809326,0.258328163922901,0.191657547108303,"Tsc1",1
"GO:0097306","BP","GO:0097306","cellular response to alcohol","1/36","149/29008",0.1693138809326,0.258328163922901,0.191657547108303,"Blm",1
"GO:0051236","BP","GO:0051236","establishment of RNA localization","1/36","150/29008",0.170350115739296,0.258957135647647,0.192124190683416,"Tsc1",1
"GO:0072073","BP","GO:0072073","kidney epithelium development","1/36","150/29008",0.170350115739296,0.258957135647647,0.192124190683416,"Asxl1",1
"GO:0030010","BP","GO:0030010","establishment of cell polarity","1/36","151/29008",0.171385093763877,0.260054164212099,0.192938092662115,"Igf1r",1
"GO:0031099","BP","GO:0031099","regeneration","1/36","153/29008",0.173451285388089,0.262230540750663,0.194552779123827,"Igf1r",1
"GO:1903900","BP","GO:1903900","regulation of viral life cycle","1/36","153/29008",0.173451285388089,0.262230540750663,0.194552779123827,"Vps37b",1
"GO:0016125","BP","GO:0016125","sterol metabolic process","1/36","154/29008",0.174482501944181,0.262951891938272,0.195087960410766,"Ebp",1
"GO:0006323","BP","GO:0006323","DNA packaging","1/36","155/29008",0.175512467631087,0.262951891938272,0.195087960410766,"Hat1",1
"GO:0022612","BP","GO:0022612","gland morphogenesis","1/36","155/29008",0.175512467631087,0.262951891938272,0.195087960410766,"Igf1r",1
"GO:0051168","BP","GO:0051168","nuclear export","1/36","155/29008",0.175512467631087,0.262951891938272,0.195087960410766,"Tsc1",1
"GO:0072006","BP","GO:0072006","nephron development","1/36","155/29008",0.175512467631087,0.262951891938272,0.195087960410766,"Asxl1",1
"GO:0001838","BP","GO:0001838","embryonic epithelial tube formation","1/36","157/29008",0.177568652291692,0.264125414699112,0.195958614583362,"Tsc1",1
"GO:0007224","BP","GO:0007224","smoothened signaling pathway","1/36","157/29008",0.177568652291692,0.264125414699112,0.195958614583362,"Tubd1",1
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","1/36","157/29008",0.177568652291692,0.264125414699112,0.195958614583362,"Blm",1
"GO:1902652","BP","GO:1902652","secondary alcohol metabolic process","1/36","157/29008",0.177568652291692,0.264125414699112,0.195958614583362,"Ebp",1
